date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20051018,1001,0.0,100.06,19.07,4.24,0.39,2,0
20051025,1001,0.0,100.23,8.09,2.38,0.39,2,0
20051101,1001,2.62,100.36,14.06,2.63,0.39,2,1
20051108,1001,0.0,100.69,20.53,4.16,0.39,2,1
20051115,1001,5.27,100.26,19.64,3.27,0.39,2,1
20051122,1001,0.0,99.85,6.02,3.96,0.39,2,1
20051129,1001,1.29,100.08,8.3,1.9,0.39,2,0
20051206,1001,0.0,100.98,1.98,4.75,0.39,2,0
20051213,1001,0.0,100.64,4.94,5.05,0.39,2,0
20051220,1001,0.0,101.18,0.69,2.9,0.39,2,0
20051227,1001,0.01,100.14,7.97,4.83,0.39,2,0
20060103,1001,0.0,100.08,10.71,4.06,0.39,2,0
20060110,1001,2.22,100.85,14.66,3.28,0.39,2,1
20060117,1001,36.7,99.15,12.41,4.03,0.39,2,1
20060124,1001,0.11,100.55,9.12,3.83,0.39,2,1
20060131,1001,0.0,100.3,6.95,4.8,0.39,2,0
20060207,1001,0.02,100.76,3.72,2.17,0.39,2,0
20060214,1001,0.0,100.92,5.08,4.74,0.39,2,0
20060221,1001,1.49,100.4,9.01,3.71,0.39,2,0
20060228,1001,0.0,100.44,10.28,3.86,0.39,2,0
20060307,1001,0.0,100.71,10.07,5.49,0.39,2,0
20060314,1001,4.17,100.49,11.62,1.75,0.39,2,0
20060321,1001,29.99,99.55,15.19,6.56,0.39,2,0
20060328,1001,0.96,100.74,13.6,2.0,0.39,2,0
20060404,1001,0.0,100.49,13.06,2.02,0.39,2,0
20060411,1001,0.01,100.91,15.14,4.46,0.39,2,0
20060418,1001,0.42,99.46,24.39,5.53,0.39,2,0
20060425,1001,0.36,99.75,22.15,3.25,0.39,2,0
20060502,1001,0.01,100.38,20.61,4.12,0.39,2,1
20060509,1001,13.9,99.7,21.8,2.02,0.39,2,1
20060516,1001,0.24,99.81,15.49,2.96,0.39,2,0
20060523,1001,0.15,100.22,25.45,4.5,0.39,2,0
20060530,1001,0.01,100.2,28.93,2.14,0.39,2,0
20060606,1001,0.0,99.95,22.43,4.24,0.39,2,0
20060613,1001,1.34,99.6,25.22,1.76,0.39,2,1
20060620,1001,0.05,100.23,30.1,1.7,0.39,2,1
20060627,1001,0.02,100.02,26.34,4.09,0.39,2,1
20060704,1001,1.8,100.25,30.29,2.82,0.39,2,1
20060711,1001,0.0,100.41,28.75,4.48,0.39,2,1
20060718,1001,1.38,100.01,30.92,2.84,0.39,2,1
20060725,1001,5.95,100.23,26.3,2.58,0.39,2,1
20060801,1001,0.46,100.25,29.33,3.24,0.39,2,1
20060808,1001,2.97,100.34,31.53,3.16,0.39,2,1
20060815,1001,13.64,99.95,29.66,2.85,0.39,2,1
20060822,1001,11.62,100.31,27.74,1.98,0.39,2,1
20060829,1001,4.69,99.64,28.9,0.83,0.39,2,1
20060905,1001,1.13,99.98,26.72,2.72,0.39,2,1
20060912,1001,34.31,100.1,22.65,2.51,0.39,2,1
20060919,1001,2.8,99.83,22.39,4.22,0.39,2,1
20060926,1001,0.04,100.28,17.9,2.95,0.39,2,1
20061003,1001,0.0,100.6,23.48,4.71,0.39,2,1
20061010,1001,0.0,100.02,21.59,4.67,0.39,2,1
20061017,1001,26.2,99.22,23.02,7.36,0.39,2,1
20061024,1001,0.01,100.67,8.96,3.68,0.39,2,1
20061031,1001,0.02,100.34,14.3,3.87,0.39,2,1
20061107,1001,13.29,99.55,15.0,3.31,0.39,2,1
20061114,1001,13.62,99.64,11.79,5.81,0.39,2,1
20061121,1001,0.0,101.14,3.34,2.38,0.39,2,0
20061128,1001,0.26,100.66,16.34,2.47,0.39,2,0
20061205,1001,0.0,101.39,3.14,4.61,0.39,2,0
20061212,1001,9.68,100.88,14.25,3.23,0.39,2,0
20061219,1001,0.0,101.04,14.32,3.48,0.39,2,1
20061226,1001,0.19,100.15,4.16,2.79,0.39,2,1
20070102,1001,0.0,101.16,4.75,3.58,0.39,2,1
20070109,1001,0.0,101.04,5.11,4.87,0.39,2,1
20070116,1001,3.11,101.27,4.27,1.13,0.39,2,1
20070123,1001,0.01,100.52,3.59,1.77,0.39,2,0
20070130,1001,0.0,100.73,3.56,4.36,0.39,2,0
20070206,1001,0.0,101.21,4.74,6.04,0.39,2,0
20070213,1001,20.72,99.33,13.19,5.29,0.39,2,1
20070220,1001,2.18,100.16,13.19,2.27,0.39,2,1
20070227,1001,0.0,99.88,12.69,4.43,0.39,2,1
20070306,1001,0.0,101.22,11.22,4.79,0.39,2,1
20070313,1001,0.01,100.79,17.57,5.27,0.39,2,1
20070320,1001,0.0,101.27,15.29,5.28,0.39,2,1
20070327,1001,0.0,100.61,19.74,2.59,0.39,2,1
20070403,1001,8.6,100.2,21.14,3.42,0.39,2,1
20070410,1001,1.64,99.83,11.54,4.19,0.39,2,1
20070417,1001,0.0,99.88,15.72,4.98,0.39,2,1
20070424,1001,0.0,100.49,20.79,3.6,0.39,2,1
20070501,1001,0.0,100.11,23.04,5.99,0.39,2,1
20070508,1001,0.0,100.31,19.38,3.26,0.39,2,1
20070515,1001,0.0,100.55,22.93,2.95,0.39,2,1
20070522,1001,0.02,100.41,23.92,5.88,0.39,2,1
20070529,1001,0.03,100.45,25.23,3.91,0.39,2,1
20070605,1001,0.83,99.49,25.45,2.17,0.39,2,1
20070612,1001,5.32,99.82,28.79,4.33,0.39,2,1
20070619,1001,14.86,100.19,24.75,2.12,0.39,2,1
20070626,1001,5.84,100.72,28.42,2.31,0.39,2,1
20070703,1001,1.92,100.39,25.89,3.15,0.39,2,1
20070710,1001,6.9,100.2,26.15,2.29,0.39,2,1
20070717,1001,3.75,100.28,26.96,3.6,0.39,2,1
20070724,1001,2.08,100.08,25.89,1.33,0.39,2,1
20070731,1001,3.44,99.66,29.34,3.4,0.39,2,1
20070807,1001,0.82,99.84,31.99,2.7,0.39,2,1
20070814,1001,0.01,99.74,31.98,4.35,0.39,2,1
20070821,1001,0.0,100.33,32.09,2.61,0.39,2,1
20070828,1001,7.2,100.26,27.24,1.84,0.39,2,1
20070904,1001,0.04,100.11,27.15,4.37,0.39,2,1
20070911,1001,10.0,99.93,26.74,2.94,0.39,2,1
20070918,1001,0.0,100.59,22.11,3.03,0.39,2,1
20070925,1001,0.09,100.41,26.04,1.73,0.39,2,1
20071002,1001,0.01,100.34,22.08,4.45,0.39,2,1
20071009,1001,5.78,99.99,24.55,4.23,0.39,2,1
20071016,1001,0.3,100.03,22.68,1.5,0.39,2,1
20071023,1001,18.2,99.53,18.73,5.34,0.39,2,1
20071030,1001,0.0,101.07,13.41,3.52,0.39,2,1
20071106,1001,0.0,100.62,12.3,2.58,0.39,2,1
20071113,1001,0.18,100.49,16.46,3.52,0.39,2,1
20071120,1001,0.0,100.64,15.32,4.41,0.39,2,1
20071127,1001,0.0,101.14,8.13,3.17,0.39,2,1
20071204,1001,0.02,100.28,4.54,4.94,0.39,2,1
20071211,1001,0.0,100.87,17.66,3.87,0.39,2,1
20071218,1001,0.03,101.15,5.06,4.82,0.39,2,1
20071225,1001,4.85,100.65,3.77,2.98,0.39,2,1
20080101,1001,0.0,101.25,4.36,3.96,0.39,2,1
20080108,1001,1.18,100.53,15.56,3.28,0.39,2,1
20080115,1001,0.0,100.72,4.64,2.9,0.39,2,1
20080122,1001,2.88,100.96,4.12,4.14,0.39,2,1
20080129,1001,14.83,99.68,11.66,6.63,0.39,2,1
20080205,1001,2.41,100.12,18.9,3.89,0.39,2,1
20080212,1001,10.45,99.79,13.51,5.46,0.39,2,1
20080219,1001,0.03,100.86,6.52,7.4,0.39,2,1
20080226,1001,17.66,99.54,10.8,3.0,0.39,2,1
20080304,1001,34.91,99.32,13.07,7.76,0.39,2,1
20080311,1001,1.72,100.48,10.72,3.78,0.39,2,1
20080318,1001,0.04,100.21,18.14,3.08,0.39,2,1
20080325,1001,0.0,101.29,6.56,4.97,0.39,2,1
20080401,1001,11.69,100.45,18.44,2.31,0.39,2,1
20080408,1001,0.0,100.3,18.14,1.28,0.39,2,1
20080415,1001,0.0,100.87,9.7,3.11,0.39,2,1
20080422,1001,0.0,100.06,20.24,4.51,0.39,2,1
20080429,1001,0.0,100.47,12.72,3.12,0.39,2,1
20080506,1001,0.0,100.24,19.87,4.73,0.39,2,1
20080513,1001,0.0,100.27,18.25,4.94,0.39,2,1
20080520,1001,2.91,99.13,23.92,2.53,0.39,2,1
20080527,1001,3.86,100.17,25.16,3.39,0.39,2,1
20080603,1001,0.0,99.79,27.51,3.95,0.39,2,1
20080610,1001,8.24,100.09,26.88,2.71,0.39,2,1
20080617,1001,4.02,99.83,26.08,4.02,0.39,2,1
20080624,1001,0.0,100.61,28.23,3.05,0.39,2,1
20080701,1001,0.0,100.28,24.53,4.41,0.39,2,1
