date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20100406.0,1013.0,0.0,100.71,18.52,4.23,0.5155,3.0,1
20030128.0,1023.0,0.81,101.86,6.63,3.97,0.1418,2.0,0
20081007.0,1015.0,4.41,98.81,20.7,2.53,0.2014,1.0,1
20110712.0,1119.0,4.43,100.59,30.67,3.03,0.5154,1.0,1
20040727.0,1133.0,1.83,99.08,22.95,2.1,0.1868,2.0,0
20020604.0,1081.0,12.62,99.32,27.65,4.38,0.2937,1.0,1
20140107.0,1077.0,0.0,100.86,-9.89,4.0,0.0533,2.0,0
20141125.0,1121.0,0.0,99.38,8.52,4.89,0.5504,3.0,1
20160913.0,1097.0,2.88,101.26,26.53,1.41,0.5293,1.0,1
20000912.0,1031.0,0.06,100.51,27.25,3.74,0.4781,1.0,1
20150113.0,1111.0,0.5,99.28,5.5,1.66,0.1377,1.0,0
20030624.0,1021.0,0.25,100.22,26.06,3.56,0.0566,2.0,0
20110510.0,1025.0,0.0,100.54,26.14,4.07,0.0191,2.0,1
20100615.0,1059.0,9.59,99.45,27.12,3.26,0.1832,1.0,0
20160712.0,1071.0,1.19,97.94,26.52,1.82,0.4644,1.0,1
20000328.0,1127.0,0.0,98.47,12.49,3.9,0.2979,1.0,1
20080805.0,1085.0,0.02,100.66,29.7,4.4,0.5192,3.0,1
20141216.0,1131.0,1.61,101.07,12.54,2.44,0.4208,1.0,1
20030729.0,1111.0,3.97,98.35,26.1,2.16,0.1377,1.0,0
20120214.0,1057.0,3.15,99.9,6.2,4.37,0.0596,2.0,0
20140930.0,1083.0,0.0,98.38,23.24,2.78,0.2003,1.0,1
20160419.0,1085.0,0.0,101.02,19.11,4.21,0.5192,3.0,0
20001003.0,1121.0,0.0,99.25,22.65,5.48,0.5504,3.0,1
20090929.0,1015.0,0.0,98.44,14.21,3.67,0.2014,1.0,0
20120424.0,1083.0,0.01,98.37,12.48,3.56,0.2003,1.0,1
20120508.0,1041.0,7.56,99.93,24.62,3.76,0.1571,2.0,1
20040511.0,1115.0,0.22,99.32,22.89,5.19,0.3065,1.0,1
20110830.0,1025.0,0.0,100.49,28.41,3.95,0.0191,2.0,1
20030415.0,1061.0,0.32,101.17,19.83,2.33,0.0708,2.0,0
20110125.0,1119.0,26.24,100.52,6.03,4.34,0.5154,1.0,1
20070410.0,1131.0,5.25,100.35,11.68,3.0,0.4208,1.0,1
20080318.0,1065.0,1.05,100.67,19.29,2.31,0.4968,3.0,1
20060808.0,1031.0,10.57,100.86,30.27,3.08,0.4781,1.0,1
20060228.0,1029.0,0.0,98.67,10.2,3.01,0.3602,3.0,0
